Token	POS-Tag	OOV	Id	Index	__next__	Granularidade	Documento
Depois	ADV	0	1	0	1	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
de	ADP	0	1	1	2	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
20	NUM	0	1	2	3	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
dias	NOUN	0	1	3	4	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
de	ADP	0	1	4	5	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
tempo	NOUN	0	1	5	6	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
seco	ADJ	0	1	6	7	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
,	PUNCT	0	1	7	8	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
voltou	VERB	0	1	8	9	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
a	SCONJ	0	1	9	10	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
